License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Advanced Practice Nurse	https://www.newarknj.gov/jobs/advance-practice-nurse-pediatrics-adult-women-and-family	Explicit Graduate/Professional	"Requirements and Education - Master's degree in pediatric nursing"	The source explicitly states that a Master's degree is required, which is a graduate-level credential, so the minimum educational prerequisite is a graduate/professional degree.	0.9	869
Advanced Practice Nurse	https://www.aanp.org/advocacy/new-jersey	No Degree Found	“Requirements include a registered nurse (RN) license, graduation from an NP program and national certification.”	The only educational reference is completion of an NP program; the text never specifies that this program confers an associate’s, bachelor’s, or graduate/professional degree, so no explicit or implicit degree requirement can be confirmed.	0.83	847
Advanced Practice Nurse	https://psychapn.org/nj-apn-statutes/	No Degree Found	"(3) Is a registered professional nurse; (4) Has successfully completed an educational program, including pharmacology, approved by the board;" – the statute lists these prerequisites but nowhere specifies that the educational program must confer an associate’s, bachelor’s, or graduate degree.	The statute outlines only registration as an RN and completion of a board-approved educational program; it does not state or imply any particular college degree level, so no degree requirement can be concluded from the provided text.	0.87	837
Advanced Practice Nurse	https://www.upwardlyglobal.org/career-coaching/professional-licensing-guides/new-jersey/nurse/	Explicit Graduate/Professional	"The advanced practice nurse is the highest licensure in nursing practice and involves graduate school education, examination, and licensing processes beyond the level required of RNs."	The text directly states that becoming an Advanced Practice Nurse requires 'graduate school education,' which is an explicit mention of a post-baccalaureate degree requirement.	0.85	800
Advanced Practice Nurse	https://law.justia.com/codes/new-jersey/title-45/section-45-11-47-1/	No Degree Found	The statute addresses only a continuing education requirement: "...complete two credits of educational programs or topics related to end-of-life care..." and nowhere mentions any associate's, bachelor's, master's, or other academic degree for initial certification.	The text pertains solely to ongoing continuing-education obligations for already-certified APNs; it contains no language establishing an academic degree prerequisite for initial licensure.	0.88	781
Advanced Practice Nurse	https://www.vivian.com/community/career-resources/how-to-get-nurse-practitioner-licensure-by-endorsement-in-every-state/	No Degree Found	"Proof of completion of educational requirements in a state with substantially similar educational requirements as New Jersey" – the only reference to education lists no specific degree level (associate, bachelor’s, master’s, etc.). No other part of the New Jersey entry mentions any degree.	The New Jersey section outlines various documentation and certification proofs but never specifies that an associate’s, bachelor’s, or graduate degree is required, so no degree requirement can be inferred from the text provided.	0.85	752
Emergency Medical Technician Certification	https://www.nj.gov/health/ems/documents/reg-enforcement/njac841ar.pdf	No Degree Found	"8:41A-2.2(a)2. Possession of a high school diploma or its equivalent;"  "8:41A-4.1(b)2. Possession of a high school diploma or its equivalent;"	The regulations list only a high school diploma (or equivalent) plus specific certifications/training for candidates seeking EMT-Paramedic certification; no associate’s, bachelor’s, or graduate degree is required.	0.9	1,242.00
Agricultural Inspection Licence	https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-2-24-3-1	No Degree Found	“...the beekeeper shall take a beginner/general beekeeping course from either an accredited college or university, the State Apiarist, or a local beekeeping club.” No mention of any associate’s, bachelor’s, or graduate degree requirement appears in the text.	The regulation only mandates completion of a beekeeping course; it never states that an Associate’s, Bachelor’s, or higher degree is required for registration/licensure.	0.9	1,022.00
Agricultural Inspection Licence	https://info.csc.state.nj.us/jobannouncements/DefaultJobAnnouncement/ViewNonCompetitiveJobDescription?guid=e044cd49-8200-4f9c-aca3-da804a90e52d	No Degree Found	The provided requirements list mentions only a valid driver’s license, physical ability, medical exam, background check, and administrative notes about submitting transcripts if a candidate already holds a college degree; it never states that an Associate’s, Bachelor’s, or Graduate/Professional degree is required to obtain the license/position.	Because the text lists several job prerequisites but does not specify any mandatory college degree, the minimum educational requirement cannot be higher than high school; thus, no college degree is required.	0.9	976
Agricultural Inspection Licence	https://www.certifiedcropadviser.org/become-certified/steps-to-certification	No Degree Found	"Have at least four years of experience with no degree"	The certification allows applicants to qualify by substituting four years of experience for any college degree, so a degree is not mandatory for initial licensure.	0.85	921
